Protein A,Protein B,Method,Publication,Taxid A,Taxid B,Interaction type,Source DB,Interaction identifier,Confidence,Protein A DB,Protein B DB,Taxname A,Taxname B
Q96PM5,P0C6X7-PRO_0000037311,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:27519799|imex:IM-28330,9606,694009,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25825665|imex:IM-28330-7,intact-miscore:0.59,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q96PM5,P0C6X7-PRO_0000037311,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:27519799|imex:IM-28330,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25825681|imex:IM-28330-9,intact-miscore:0.59,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q13557,P0C6X7-PRO_0000037311,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:27519799|imex:IM-28330,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25825709|imex:IM-28330-11,intact-miscore:0.57,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
P04637,P0C6X7-PRO_0000037311,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:27519799|imex:IM-28330,9606,694009,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25825787|imex:IM-28330-29,intact-miscore:0.35,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q96PM5,P0C6X7-PRO_0000037311,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:27519799|imex:IM-28330,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25825876|imex:IM-28330-31,intact-miscore:0.59,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q96PM5,P0C6X5-PRO_0000283876,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:27519799|imex:IM-28330,9606,277944,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25826841|imex:IM-28330-17,intact-miscore:0.51,uniprotkb,uniprotkb,Human coronavirus NL63,Human coronavirus NL63
Q96PM5,P0C6X7-PRO_0000037311,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",pubmed:27519799|imex:IM-28330,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25825577|imex:IM-28330-5,intact-miscore:0.59,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q13557,P0C6X7-PRO_0000037311,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",pubmed:27519799|imex:IM-28330,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25825592|imex:IM-28330-23,intact-miscore:0.57,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q96PM5,P0C6X7-PRO_0000037311,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",pubmed:27519799|imex:IM-28330,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25825767|imex:IM-28330-15,intact-miscore:0.59,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q96PM5,P0C6X5-PRO_0000283876,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",pubmed:27519799|imex:IM-28330,9606,277944,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25826894|imex:IM-28330-19,intact-miscore:0.51,uniprotkb,uniprotkb,Human coronavirus NL63,Human coronavirus NL63
Q96PM5,K9N7C7-PRO_0000422441,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",pubmed:27519799|imex:IM-28330,9606,1263720,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-26356620|imex:IM-28330-34,intact-miscore:0.51,uniprotkb,uniprotkb,Betacoronavirus England 1,Betacoronavirus England 1
Q92499,P0C6Y1-PRO_0000037415,"psi-mi:""MI:0018""(two hybrid)",pubmed:20573827|imex:IM-28331,9606,11122,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25826987|imex:IM-28331-1,intact-miscore:0.54,uniprotkb,uniprotkb,Avian infectious bronchitis virus (strain Beaudette),Avian infectious bronchitis virus (strain Beaudette)
Q92499,P0C6Y1-PRO_0000037415,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:20573827|imex:IM-28331,9606,11122,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25827008|imex:IM-28331-3,intact-miscore:0.54,uniprotkb,uniprotkb,Avian infectious bronchitis virus (strain Beaudette),Avian infectious bronchitis virus (strain Beaudette)
Q92499,P0C6Y1-PRO_0000037415,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:20573827|imex:IM-28331,9606,11122,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25827016|imex:IM-28331-5,intact-miscore:0.54,uniprotkb,uniprotkb,Avian infectious bronchitis virus (strain Beaudette),Avian infectious bronchitis virus (strain Beaudette)
Q92499,P0C6Y1-PRO_0000037415,"psi-mi:""MI:0018""(two hybrid)",pubmed:20573827|imex:IM-28331,9606,11122,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25827032|imex:IM-28331-7,intact-miscore:0.54,uniprotkb,uniprotkb,Avian infectious bronchitis virus (strain Beaudette),Avian infectious bronchitis virus (strain Beaudette)
Q92499,P0C6X7-PRO_0000037320,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:20573827|imex:IM-28331,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25827273|imex:IM-28331-9,intact-miscore:0.40,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q92499,P0C6Y1-PRO_0000037415,"psi-mi:""MI:0663""(confocal microscopy)",pubmed:20573827|imex:IM-28331,9606,11122,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25827315|imex:IM-28331-13,intact-miscore:0.54,uniprotkb,uniprotkb,Avian infectious bronchitis virus (strain Beaudette),Avian infectious bronchitis virus (strain Beaudette)
P27487,K9N5Q8,"psi-mi:""MI:0107""(surface plasmon resonance)",imex:IM-28333|pubmed:25461530,9606,1263720,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25827610|imex:IM-28333-1,intact-miscore:0.84,uniprotkb,uniprotkb,Betacoronavirus England 1,Betacoronavirus England 1
Q9BYF1,P0DTC2,"psi-mi:""MI:0969""(bio-layer interferometry)",imex:IM-28277|pubmed:32437749,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25815006|imex:IM-28277-3,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0969""(bio-layer interferometry)",imex:IM-28277|pubmed:32437749,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25815051|imex:IM-28277-7,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O95295,Q19QW5,"psi-mi:""MI:0018""(two hybrid)",pubmed:25907116|imex:IM-28094,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649498|imex:IM-28094-3,intact-miscore:0.37,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q5XPI4,Q19QW5,"psi-mi:""MI:0018""(two hybrid)",pubmed:25907116|imex:IM-28094,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649507|imex:IM-28094-5,intact-miscore:0.37,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9UMX0,Q19QW5,"psi-mi:""MI:0018""(two hybrid)",pubmed:25907116|imex:IM-28094,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649511|imex:IM-28094-7,intact-miscore:0.37,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
P25685,Q19QW5,"psi-mi:""MI:0018""(two hybrid)",pubmed:25907116|imex:IM-28094,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649515|imex:IM-28094-9,intact-miscore:0.37,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
P98161,Q19QW5,"psi-mi:""MI:0018""(two hybrid)",pubmed:25907116|imex:IM-28094,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649519|imex:IM-28094-11,intact-miscore:0.37,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q13009,Q19QW5,"psi-mi:""MI:0018""(two hybrid)",pubmed:25907116|imex:IM-28094,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649523|imex:IM-28094-13,intact-miscore:0.37,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q5TBA9,Q19QW5,"psi-mi:""MI:0018""(two hybrid)",pubmed:25907116|imex:IM-28094,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649532|imex:IM-28094-15,intact-miscore:0.37,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
O76064,P0DTD1-PRO_0000449630,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:33845483|pmc:PPR177217|doi:10.1101/2020.06.17.156455|imex:IM-28109,9606,2697049,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25686007|imex:IM-28109-63,intact-miscore:0.40,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
EBI-20749408,P33469,"psi-mi:""MI:1017""(rna immunoprecipitation)",imex:IM-27929|pubmed:24109243,9606,31631,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25566765|imex:IM-27929-5,intact-miscore:0.40,intact,uniprotkb,Human coronavirus OC43,Human coronavirus OC43
EBI-25566792,P33469,"psi-mi:""MI:1017""(rna immunoprecipitation)",imex:IM-27929|pubmed:24109243,9606,31631,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25566786|imex:IM-27929-9,intact-miscore:0.40,intact,uniprotkb,Human coronavirus OC43,Human coronavirus OC43
EBI-20749408,P33469,"psi-mi:""MI:1017""(rna immunoprecipitation)",imex:IM-27929|pubmed:24109243,9606,31631,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25566780|imex:IM-27929-7,intact-miscore:0.40,intact,uniprotkb,Human coronavirus OC43,Human coronavirus OC43
EBI-20749408,P33469,"psi-mi:""MI:1017""(rna immunoprecipitation)",imex:IM-27929|pubmed:24109243,9606,31631,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25566812|imex:IM-27929-11,intact-miscore:0.40,intact,uniprotkb,Human coronavirus OC43,Human coronavirus OC43
P05161,K0BWD0,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:28931677|imex:IM-27920,9606,1235996,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25566317|imex:IM-27920-3|pdbe:5W8U,intact-miscore:0.62,uniprotkb,uniprotkb,Human betacoronavirus 2c EMC/2012,Human betacoronavirus 2c EMC/2012
O43765,P59635,"psi-mi:""MI:0018""(two hybrid)",pubmed:16580632|imex:IM-27925,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25566121|imex:IM-27925-1,intact-miscore:0.54,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
O43765,P59635,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:16580632|imex:IM-27925,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25566158|imex:IM-27925-3,intact-miscore:0.54,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
O43765,P59635,"psi-mi:""MI:0663""(confocal microscopy)",pubmed:16580632|imex:IM-27925,9606,694009,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25566204|imex:IM-27925-7,intact-miscore:0.54,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9BYF1,P0DTC2,"psi-mi:""MI:0107""(surface plasmon resonance)",pubmed:32332765|imex:IM-27945,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25590014|imex:IM-27945-1,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P59594,"psi-mi:""MI:0107""(surface plasmon resonance)",pubmed:32332765|imex:IM-27945,9606,694009,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25590056|imex:IM-27945-3,intact-miscore:0.99,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9BYF1,P0DTC2,"psi-mi:""MI:0107""(surface plasmon resonance)",pubmed:32332765|imex:IM-27945,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25590118|imex:IM-27945-5,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P59594,"psi-mi:""MI:0107""(surface plasmon resonance)",pubmed:32332765|imex:IM-27945,9606,694009,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25590130|imex:IM-27945-7,intact-miscore:0.99,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9BYF1,P0DTC2,"psi-mi:""MI:0107""(surface plasmon resonance)",pubmed:32075877|imex:IM-27946,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25590926|imex:IM-27946-3,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P59594,"psi-mi:""MI:0107""(surface plasmon resonance)",pubmed:32075877|imex:IM-27946,9606,694009,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25590970|imex:IM-27946-5,intact-miscore:0.99,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q9BYF1,P0DTC2,"psi-mi:""MI:0040""(electron microscopy)",pubmed:32075877|imex:IM-27946,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25591046|imex:IM-27946-7,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
Q9BYF1,P0DTC2,"psi-mi:""MI:0969""(bio-layer interferometry)",pubmed:32075877|imex:IM-27946,9606,2697049,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25591088|imex:IM-27946-9,intact-miscore:1.00,uniprotkb,uniprotkb,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2
O00429,P59636,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28095|pubmed:25135833,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649180|imex:IM-28095-1,intact-miscore:0.40,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q15366,P59636,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28095|pubmed:25135833,9606,694009,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649381|imex:IM-28095-13,intact-miscore:0.35,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q7Z434,P59636,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",imex:IM-28095|pubmed:25135833,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649187|imex:IM-28095-3,intact-miscore:0.54,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q7Z434,P59636,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",imex:IM-28095|pubmed:25135833,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649213|imex:IM-28095-5,intact-miscore:0.54,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q7Z434,P59636,"psi-mi:""MI:0663""(confocal microscopy)",imex:IM-28095|pubmed:25135833,9606,694009,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649307|imex:IM-28095-7,intact-miscore:0.54,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q7Z434,P59636,"psi-mi:""MI:2213""(Super-resolution microscopy)",imex:IM-28095|pubmed:25135833,9606,694009,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649320|imex:IM-28095-9,intact-miscore:0.54,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q7Z434,P59636,"psi-mi:""MI:0040""(electron microscopy)",imex:IM-28095|pubmed:25135833,9606,694009,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25649348|imex:IM-28095-11,intact-miscore:0.54,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
P38606,P0DOF2,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",imex:IM-27674|pubmed:33208464,9606,11295,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25644911|imex:IM-27674-21,intact-miscore:0.63,uniprotkb,uniprotkb,Rabies virus ERA,Rabies virus ERA
P38606,P0DOF2,"psi-mi:""MI:0096""(pull down)",imex:IM-27674|pubmed:33208464,9606,11295,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25567752|imex:IM-27674-1,intact-miscore:0.63,uniprotkb,uniprotkb,Rabies virus ERA,Rabies virus ERA
P38606,P0DOF2,"psi-mi:""MI:0096""(pull down)",imex:IM-27674|pubmed:33208464,9606,11295,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25567807|imex:IM-27674-3,intact-miscore:0.63,uniprotkb,uniprotkb,Rabies virus ERA,Rabies virus ERA
P07948,P22575,"psi-mi:""MI:0077""(nuclear magnetic resonance)",pubmed:16155203|mint:MINT-7160354|doi:10.1110/ps.051563605,9606,10384,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0471""(MINT)",intact:EBI-7815671|mint:MINT-7185753,intact-miscore:0.56,uniprotkb,uniprotkb,Herpesvirus saimiri (strain 488),Herpesvirus saimiri (strain 488)
P15927,P04489,"psi-mi:""MI:0416""(fluorescence microscopy)",pubmed:19197236|imex:IM-13865|mint:MINT-7114538|doi:10.1038/emboj.2009.15,9606,28285,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0471""(MINT)",intact:EBI-8561880|mint:MINT-7114674|imex:IM-13865-1,intact-miscore:0.27,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
P15927,P03265,"psi-mi:""MI:0416""(fluorescence microscopy)",pubmed:19197236|imex:IM-13865|mint:MINT-7114538|doi:10.1038/emboj.2009.15,9606,28285,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0471""(MINT)",intact:EBI-8561946|mint:MINT-7114844|imex:IM-13865-2,intact-miscore:0.27,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
P62136,P36313,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:18068675|imex:IM-13955|mint:MINT-6175569,9606,10299,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7729650|mint:MINT-6175585|imex:IM-13955-4,intact-miscore:0.51,uniprotkb,uniprotkb,Human alphaherpesvirus 1 strain 17,Human alphaherpesvirus 1 strain 17
P62136,P36313,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",pubmed:18068675|imex:IM-13955|mint:MINT-6175569,9606,10299,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7729741|mint:MINT-6175654|imex:IM-13955-1,intact-miscore:0.51,uniprotkb,uniprotkb,Human alphaherpesvirus 1 strain 17,Human alphaherpesvirus 1 strain 17
P62136,P36313,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",pubmed:18068675|imex:IM-13955|mint:MINT-6175569,9606,10299,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7729847|mint:MINT-6180242|imex:IM-13955-3,intact-miscore:0.51,uniprotkb,uniprotkb,Human alphaherpesvirus 1 strain 17,Human alphaherpesvirus 1 strain 17
O15151,P03255-2,"psi-mi:""MI:0018""(two hybrid)",pubmed:15604276|mint:MINT-5217417,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7427520|mint:MINT-2490908,intact-miscore:0.58,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
O15151,P03255-2,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:15604276|mint:MINT-5217417,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7427724|mint:MINT-2517664,intact-miscore:0.58,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
Q15326,P03255,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:11733528|mint:MINT-5214864,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-8053149|mint:MINT-2577206,intact-miscore:0.66,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
Q15326,P03255-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:11733528|mint:MINT-5214864,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-8053180|mint:MINT-2583884,intact-miscore:0.40,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
Q09472,P03255-2,"psi-mi:""MI:0096""(pull down)",pubmed:10330164|mint:MINT-5211462,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-6996417|mint:MINT-2584566,intact-miscore:0.70,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
Q09472,P03255-1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",mint:MINT-6548467|pubmed:9881977,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-8665448|mint:MINT-2631462,intact-miscore:0.40,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
Q09472,P03255-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",mint:MINT-6548467|pubmed:9881977,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-8665479|mint:MINT-2631647,intact-miscore:0.70,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
P06400,P03255-1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",mint:MINT-6548467|pubmed:9881977,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-8665460|mint:MINT-2631507,intact-miscore:0.59,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
Q92831,P03255,"psi-mi:""MI:0096""(pull down)",pubmed:9687513|imex:IM-14018|mint:MINT-6548050,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-8679588|mint:MINT-2880781|imex:IM-14018-3,intact-miscore:0.51,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
Q92831,P03255-2,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:9687513|imex:IM-14018|mint:MINT-6548050,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-8679714|mint:MINT-2632111|imex:IM-14018-5,intact-miscore:0.66,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
Q92831,P03255-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",pubmed:9687513|imex:IM-14018|mint:MINT-6548050,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-8679758|mint:MINT-2880850|imex:IM-14018-4,intact-miscore:0.66,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
P29590-3,P04489,"psi-mi:""MI:0096""(pull down)",pubmed:16501113|mint:MINT-5218374|doi:10.1128/JVI.80.6.3042-3049.2006,9606,28285,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-8099087|mint:MINT-2793757,intact-miscore:0.56,uniprotkb,uniprotkb,Human adenovirus 5,Human adenovirus 5
