Protein A,Protein B,Method,Publication,Taxid A,Taxid B,Interaction type,Source DB,Interaction identifier,Confidence,Protein A DB,Protein B DB,Taxname A,Taxname B
P63104,O00571,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193011|mint:MINT-3296972,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q69YN4,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193035|mint:MINT-3297021,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P05455,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193072|mint:MINT-3297068,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P23396,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193140|mint:MINT-3297088,intact-miscore:0.56,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P84098,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193207|mint:MINT-3297130,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P05388,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193156|mint:MINT-3297112,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P46777,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193284|mint:MINT-3297169,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P05387,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193351|mint:MINT-3297185,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P62081,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193377|mint:MINT-3297202,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q86U42,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193421|mint:MINT-3297301,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P07814,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193404|mint:MINT-3297276,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q13310,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193452|mint:MINT-3297322,intact-miscore:0.59,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P41250,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193468|mint:MINT-3297340,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q92616,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193484|mint:MINT-3297360,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q04637,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193501|mint:MINT-3297377,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
O00303,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193532|mint:MINT-3297431,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P13639,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193568|mint:MINT-3297456,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P68104,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193584|mint:MINT-3297472,intact-miscore:0.56,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P24534,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193601|mint:MINT-3297494,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P43897,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193617|mint:MINT-3297510,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P33176,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193664|mint:MINT-3297642,intact-miscore:0.77,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q92552,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193648|mint:MINT-3297591,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q9H0B6,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193680|mint:MINT-3297660,intact-miscore:0.69,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q02241,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193696|mint:MINT-3297678,intact-miscore:0.84,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q14204,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193712|mint:MINT-3297714,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P68363,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193745|mint:MINT-3297730,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q9H4B7,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193780|mint:MINT-3297777,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P02545,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193814|mint:MINT-3297814,intact-miscore:0.56,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P08670,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193797|mint:MINT-3297793,intact-miscore:0.56,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P20700,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193843|mint:MINT-3297843,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P07355,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193899|mint:MINT-3297866,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P04083,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193916|mint:MINT-3297886,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P60709,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193952|mint:MINT-3297917,intact-miscore:0.56,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q9Y490,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7193985|mint:MINT-3297984,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q75N03,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194037|mint:MINT-3298028,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q16658,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194001|mint:MINT-3298006,intact-miscore:0.56,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P07737,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194068|mint:MINT-3298189,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P23528,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194084|mint:MINT-3298215,intact-miscore:0.66,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q01813,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194125|mint:MINT-3304213,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
O60825,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194141|mint:MINT-3304235,intact-miscore:0.56,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P30084,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194188|mint:MINT-3304365,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P49327,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194157|mint:MINT-3304340,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,O60488,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194204|mint:MINT-3304385,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P04406,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194241|mint:MINT-3304469,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P12532,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194278|mint:MINT-3304487,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P00338,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194326|mint:MINT-3304540,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P07195,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194294|mint:MINT-3304522,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P35270,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194377|mint:MINT-3304560,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P25705,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194393|mint:MINT-3304598,intact-miscore:0.69,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P06576,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194409|mint:MINT-3304619,intact-miscore:0.56,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P14618,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194445|mint:MINT-3304637,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P23526,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194477|mint:MINT-3304654,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P29401,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194493|mint:MINT-3304676,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P04075,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194509|mint:MINT-3304695,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P06733,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194525|mint:MINT-3304712,intact-miscore:0.69,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,O00764,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194541|mint:MINT-3304733,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P60174,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194572|mint:MINT-3304765,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P50990,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194588|mint:MINT-3304790,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P40227,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194624|mint:MINT-3304807,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P78371,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194640|mint:MINT-3304824,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P49368,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194656|mint:MINT-3304857,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P17987,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194687|mint:MINT-3304899,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q99832,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194703|mint:MINT-3305043,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P10809,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194719|mint:MINT-3305086,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P11021,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194736|mint:MINT-3305120,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P07900,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194768|mint:MINT-3305183,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P08238,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194805|mint:MINT-3305247,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P04792,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194837|mint:MINT-3305331,intact-miscore:0.68,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q92598,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194821|mint:MINT-3305276,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P27797,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194854|mint:MINT-3305376,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P62937,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194886|mint:MINT-3305423,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q12931,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194903|mint:MINT-3305616,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P34931,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194919|mint:MINT-3305679,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
O95373,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194955|mint:MINT-3305799,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q14974,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7194971|mint:MINT-3305862,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q92973,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195003|mint:MINT-3306020,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P55060,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195020|mint:MINT-3306084,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q13263,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195037|mint:MINT-3306240,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q96RK0,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195086|mint:MINT-3306314,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
O75594,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195137|mint:MINT-3306354,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,P09382,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195168|mint:MINT-3306462,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q8WWI1,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195204|mint:MINT-3306548,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q15007,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195398|mint:MINT-3306625,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q9Y4D8,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195429|mint:MINT-3306649,intact-miscore:0.56,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q9P270,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195478|mint:MINT-3306673,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P63104,Q5T200,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195494|mint:MINT-3306813,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q6Y7W6,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195510|mint:MINT-3306956,intact-miscore:0.40,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
Q6PKG0,P63104,"psi-mi:""MI:0096""(pull down)",pubmed:15161933|mint:MINT-5217040,9606,9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0471""(MINT)",intact:EBI-7195561|mint:MINT-3307331,intact-miscore:0.70,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
