yourlist:M202205025BF3C56A578D7D6DFD1FC81EE5DA77304BFA55N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q7Z3I7	Q7Z3I7	ZN572_HUMAN	reviewed	Zinc finger protein 572	ZNF572	Homo sapiens (Human)	529
A0A087WT53	A0A087WT53	A0A087WT53_HUMAN	unreviewed	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1	MAGI1	Homo sapiens (Human)	1155
Q8WZ42	Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350
Q9UNS2	Q9UNS2	CSN3_HUMAN	reviewed	COP9 signalosome complex subunit 3 (SGN3) (Signalosome subunit 3) (JAB1-containing signalosome subunit 3)	COPS3 CSN3	Homo sapiens (Human)	423
Q14534	Q14534	ERG1_HUMAN	reviewed	Squalene monooxygenase (EC 1.14.14.17) (Squalene epoxidase) (SE)	SQLE ERG1	Homo sapiens (Human)	574
O15254	O15254	ACOX3_HUMAN	reviewed	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)	ACOX3 BRCOX PRCOX	Homo sapiens (Human)	700
Q9UQ88	Q9UQ88	CD11A_HUMAN	reviewed	Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2)	CDK11A CDC2L2 CDC2L3 PITSLREB	Homo sapiens (Human)	783
Q99988	Q99988	GDF15_HUMAN	reviewed	Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1) (NSAID-activated gene 1 protein) (NAG-1) (NSAID-regulated gene 1 protein) (NRG-1) (Placental TGF-beta) (Placental bone morphogenetic protein) (Prostate differentiation factor)	GDF15 MIC1 PDF PLAB PTGFB	Homo sapiens (Human)	308
P13612	P13612	ITA4_HUMAN	reviewed	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d)	ITGA4 CD49D	Homo sapiens (Human)	1032
Q15907	Q15907	RB11B_HUMAN	reviewed	Ras-related protein Rab-11B (EC 3.6.5.2) (GTP-binding protein YPT3)	RAB11B YPT3	Homo sapiens (Human)	218
B7ZMD7	B7ZMD7	B7ZMD7_HUMAN	unreviewed	Alpha-amylase (EC 3.2.1.1)	AMY1A	Homo sapiens (Human)	511
P51513	P51513	NOVA1_HUMAN	reviewed	RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Onconeural ventral antigen 1) (Paraneoplastic Ri antigen) (Ventral neuron-specific protein 1)	NOVA1	Homo sapiens (Human)	507
Q9H4I3	Q9H4I3	TRABD_HUMAN	reviewed	TraB domain-containing protein (Protein TTG2)	TRABD TTG2 PP2447	Homo sapiens (Human)	376
Q9BVK2	Q9BVK2	ALG8_HUMAN	reviewed	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8 homolog) (Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)	ALG8 HUSSY-02	Homo sapiens (Human)	526
Q9BZL6	Q9BZL6	KPCD2_HUMAN	reviewed	Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2)	PRKD2 PKD2 HSPC187	Homo sapiens (Human)	878
O43865	O43865	SAHH2_HUMAN	reviewed	S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2)	AHCYL1 DCAL IRBIT XPVKONA	Homo sapiens (Human)	530
P78560	P78560	CRADD_HUMAN	reviewed	Death domain-containing protein CRADD (Caspase and RIP adapter with death domain) (RIP-associated protein with a death domain)	CRADD RAIDD	Homo sapiens (Human)	199
Q9NQS7	Q9NQS7	INCE_HUMAN	reviewed	Inner centromere protein	INCENP	Homo sapiens (Human)	918
O43633	O43633	CHM2A_HUMAN	reviewed	Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)	CHMP2A BC2 CHMP2	Homo sapiens (Human)	222
Q7L2E3	Q7L2E3	DHX30_HUMAN	reviewed	ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)	DHX30 DDX30 KIAA0890	Homo sapiens (Human)	1194
P49755	P49755	TMEDA_HUMAN	reviewed	Transmembrane emp24 domain-containing protein 10 (Protein TMED10) (21 kDa transmembrane-trafficking protein) (S31I125) (S31III125) (Tmp-21-I) (Transmembrane protein Tmp21) (p23) (p24 family protein delta-1) (p24delta1) (p24delta)	TMED10 TMP21	Homo sapiens (Human)	219
A0A0A0MRH8	A0A0A0MRH8	A0A0A0MRH8_HUMAN	unreviewed	Chromodomain-helicase-DNA-binding protein 1-like	CHD1L	Homo sapiens (Human)	745
B5MCF9	B5MCF9	B5MCF9_HUMAN	unreviewed	Pescadillo homolog	PES1	Homo sapiens (Human)	571
Q02543	Q02543	RL18A_HUMAN	reviewed	60S ribosomal protein L18a (Large ribosomal subunit protein eL20)	RPL18A	Homo sapiens (Human)	176
Q15916	Q15916	ZBTB6_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 6 (Zinc finger protein 482) (Zinc finger protein with interaction domain)	ZBTB6 ZID ZNF482	Homo sapiens (Human)	424
Q96BJ3	Q96BJ3	AIDA_HUMAN	reviewed	Axin interactor, dorsalization-associated protein (Axin interaction partner and dorsalization antagonist)	AIDA C1orf80	Homo sapiens (Human)	306
O75691	O75691	UTP20_HUMAN	reviewed	Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)	UTP20 DRIM	Homo sapiens (Human)	2785
Q9Y3A4	Q9Y3A4	RRP7A_HUMAN	reviewed	Ribosomal RNA-processing protein 7 homolog A (Gastric cancer antigen Zg14)	RRP7A CGI-96	Homo sapiens (Human)	280
Q8TCC7	Q8TCC7	S22A8_HUMAN	reviewed	Solute carrier family 22 member 8 (Organic anion transporter 3) (hOAT3)	SLC22A8 OAT3	Homo sapiens (Human)	542
Q13586	Q13586	STIM1_HUMAN	reviewed	Stromal interaction molecule 1	STIM1 GOK	Homo sapiens (Human)	685
M0R2P2	M0R2P2	M0R2P2_HUMAN	unreviewed	Glia maturation factor gamma	GMFG	Homo sapiens (Human)	60
P24385	P24385	CCND1_HUMAN	reviewed	G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene)	CCND1 BCL1 PRAD1	Homo sapiens (Human)	295
Q15813	Q15813	TBCE_HUMAN	reviewed	Tubulin-specific chaperone E (Tubulin-folding cofactor E)	TBCE	Homo sapiens (Human)	527
Q96QH2	Q96QH2	PRAM_HUMAN	reviewed	PML-RARA-regulated adapter molecule 1 (PRAM) (PRAM-1)	PRAM1	Homo sapiens (Human)	670
Q8WVV4	Q8WVV4	POF1B_HUMAN	reviewed	Protein POF1B (Premature ovarian failure protein 1B)	POF1B	Homo sapiens (Human)	589
P31040	P31040	SDHA_HUMAN	reviewed	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)	SDHA SDH2 SDHF	Homo sapiens (Human)	664
Q8WYA6	Q8WYA6	CTBL1_HUMAN	reviewed	Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19)	CTNNBL1 C20orf33 PP8304	Homo sapiens (Human)	563
Q8TAE8	Q8TAE8	G45IP_HUMAN	reviewed	Growth arrest and DNA damage-inducible proteins-interacting protein 1 (39S ribosomal protein L59, mitochondrial) (MRP-L59) (CKII beta-associating protein) (CR6-interacting factor 1) (CRIF1) (Mitochondrial large ribosomal subunit protein mL64) (Papillomavirus L2-interacting nuclear protein 1) (PLINP) (PLINP-1) (p53-responsive gene 6 protein)	GADD45GIP1 MRPL59 PLINP1 PRG6	Homo sapiens (Human)	222
Q9UNK0	Q9UNK0	STX8_HUMAN	reviewed	Syntaxin-8	STX8	Homo sapiens (Human)	236
Q7L2B8	Q7L2B8	Q7L2B8_HUMAN	unreviewed	CAMK2N1 protein (Fragment)	CAMK2N1	Homo sapiens (Human)	25
A8K8P3	A8K8P3	SFI1_HUMAN	reviewed	Protein SFI1 homolog (hSFI1)	SFI1 KIAA0542	Homo sapiens (Human)	1242
P13987	P13987	CD59_HUMAN	reviewed	CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59)	CD59 MIC11 MIN1 MIN2 MIN3 MSK21	Homo sapiens (Human)	128
P04746	P04746	AMYP_HUMAN	reviewed	Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	AMY2A	Homo sapiens (Human)	511
Q6NX55	Q6NX55	Q6NX55_HUMAN	unreviewed	Chromosome 19 open reading frame 2 (cDNA FLJ10575 fis, clone NT2RP2003295, highly similar to RNA polymerase II subunit 5-mediating protein)	C19orf2	Homo sapiens (Human)	494
Q15057	Q15057	ACAP2_HUMAN	reviewed	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)	ACAP2 CENTB2 KIAA0041	Homo sapiens (Human)	778
O60235	O60235	TM11D_HUMAN	reviewed	Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain]	TMPRSS11D HAT	Homo sapiens (Human)	418
Q6V1P9	Q6V1P9	PCD23_HUMAN	reviewed	Protocadherin-23 (Cadherin-27) (Cadherin-like protein CDHJ) (Cadherin-like protein VR8) (Protein dachsous homolog 2) (Protocadherin PCDHJ)	DCHS2 CDH27 CDHJ PCDH23 PCDHJ	Homo sapiens (Human)	3371
Q8NI22	Q8NI22	MCFD2_HUMAN	reviewed	Multiple coagulation factor deficiency protein 2 (Neural stem cell-derived neuronal survival protein)	MCFD2 SDNSF	Homo sapiens (Human)	146
P48058	P48058	GRIA4_HUMAN	reviewed	Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)	GRIA4 GLUR4	Homo sapiens (Human)	902
Q9UKN1	Q9UKN1	MUC12_HUMAN	reviewed	Mucin-12 (MUC-12) (Mucin-11) (MUC-11)	MUC12 MUC11	Homo sapiens (Human)	5478
Q15021	Q15021	CND1_HUMAN	reviewed	Condensin complex subunit 1 (Chromosome condensation-related SMC-associated protein 1) (Chromosome-associated protein D2) (hCAP-D2) (Non-SMC condensin I complex subunit D2) (XCAP-D2 homolog)	NCAPD2 CAPD2 CNAP1 KIAA0159	Homo sapiens (Human)	1401
P78344	P78344	IF4G2_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Death-associated protein 5) (DAP-5) (p97)	EIF4G2 DAP5 OK/SW-cl.75	Homo sapiens (Human)	907
Q99735	Q99735	MGST2_HUMAN	reviewed	Microsomal glutathione S-transferase 2 (Microsomal GST-2) (EC 2.5.1.18) (Glutathione peroxidase MGST2) (EC 1.11.1.-) (Leukotriene C4 synthase MGST2) (EC 4.4.1.20) (Microsomal glutathione S-transferase II) (Microsomal GST-II)	MGST2 GST2	Homo sapiens (Human)	147
P27701	P27701	CD82_HUMAN	reviewed	CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1) (Suppressor of tumorigenicity 6 protein) (Tetraspanin-27) (Tspan-27) (CD antigen CD82)	CD82 KAI1 SAR2 ST6 TSPAN27	Homo sapiens (Human)	267
P01861	P01861	IGHG4_HUMAN	reviewed	Immunoglobulin heavy constant gamma 4 (Ig gamma-4 chain C region)	IGHG4	Homo sapiens (Human)	327
O95456	O95456	PSMG1_HUMAN	reviewed	Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2)	PSMG1 C21LRP DSCR2 PAC1	Homo sapiens (Human)	288
Q9UDY2	Q9UDY2	ZO2_HUMAN	reviewed	Tight junction protein ZO-2 (Tight junction protein 2) (Zona occludens protein 2) (Zonula occludens protein 2)	TJP2 X104 ZO2	Homo sapiens (Human)	1190
P13598	P13598	ICAM2_HUMAN	reviewed	Intercellular adhesion molecule 2 (ICAM-2) (CD antigen CD102)	ICAM2	Homo sapiens (Human)	275
P61073	P61073	CXCR4_HUMAN	reviewed	C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	CXCR4	Homo sapiens (Human)	352
E9PAV3	E9PAV3	NACAM_HUMAN	reviewed	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	NACA	Homo sapiens (Human)	2078
H0Y731	H0Y731	H0Y731_HUMAN	unreviewed	BTB/POZ domain-containing protein KCTD17 (Fragment)	KCTD17	Homo sapiens (Human)	180
Q86U86	Q86U86	PB1_HUMAN	reviewed	Protein polybromo-1 (hPB1) (BRG1-associated factor 180) (BAF180) (Polybromo-1D)	PBRM1 BAF180 PB1	Homo sapiens (Human)	1689
P23352	P23352	KALM_HUMAN	reviewed	Anosmin-1 (Adhesion molecule-like X-linked) (Kallmann syndrome protein)	ANOS1 ADMLX KAL KAL1 KALIG1	Homo sapiens (Human)	680
Q9BXS6	Q9BXS6	NUSAP_HUMAN	reviewed	Nucleolar and spindle-associated protein 1 (NuSAP)	NUSAP1 ANKT BM-037 PRO0310	Homo sapiens (Human)	441
A0A0A0MSX4	A0A0A0MSX4	A0A0A0MSX4_HUMAN	unreviewed	Roundabout homolog 1	ROBO1	Homo sapiens (Human)	1531
P54284	P54284	CACB3_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit beta-3 (CAB3) (Calcium channel voltage-dependent subunit beta 3)	CACNB3 CACNLB3	Homo sapiens (Human)	484
Q567V2	Q567V2	M17L2_HUMAN	reviewed	Mpv17-like protein 2	MPV17L2 FKSG24	Homo sapiens (Human)	206
Q9UEE9	Q9UEE9	CFDP1_HUMAN	reviewed	Craniofacial development protein 1 (Bucentaur)	CFDP1 BCNT CENP-29	Homo sapiens (Human)	299
F8WBB8	F8WBB8	F8WBB8_HUMAN	unreviewed	Cullin-associated NEDD8-dissociated protein 2	CAND2	Homo sapiens (Human)	110
P32780	P32780	TF2H1_HUMAN	reviewed	General transcription factor IIH subunit 1 (Basic transcription factor 2 62 kDa subunit) (BTF2 p62) (General transcription factor IIH polypeptide 1) (TFIIH basal transcription factor complex p62 subunit)	GTF2H1 BTF2	Homo sapiens (Human)	548
Q7Z4Q2	Q7Z4Q2	HEAT3_HUMAN	reviewed	HEAT repeat-containing protein 3	HEATR3	Homo sapiens (Human)	680
Q86W26	Q86W26	NAL10_HUMAN	reviewed	NACHT, LRR and PYD domains-containing protein 10 (Nucleotide-binding oligomerization domain protein 8)	NLRP10 NALP10 NOD8 PYNOD	Homo sapiens (Human)	655
Q8TCK8	Q8TCK8	Q8TCK8_HUMAN	unreviewed	Uncharacterized protein DKFZp566A0447	DKFZp566A0447	Homo sapiens (Human)	280
Q75QN2	Q75QN2	INT8_HUMAN	reviewed	Integrator complex subunit 8 (Int8) (Protein kaonashi-1)	INTS8 C8orf52	Homo sapiens (Human)	995
P30837	P30837	AL1B1_HUMAN	reviewed	Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)	ALDH1B1 ALDH5 ALDHX	Homo sapiens (Human)	517
Q8TDY2	Q8TDY2	RBCC1_HUMAN	reviewed	RB1-inducible coiled-coil protein 1 (FAK family kinase-interacting protein of 200 kDa) (FIP200)	RB1CC1 KIAA0203 RBICC	Homo sapiens (Human)	1594
P57729	P57729	RAB38_HUMAN	reviewed	Ras-related protein Rab-38 (Melanoma antigen NY-MEL-1)	RAB38	Homo sapiens (Human)	211
P15153	P15153	RAC2_HUMAN	reviewed	Ras-related C3 botulinum toxin substrate 2 (GX) (Small G protein) (p21-Rac2)	RAC2	Homo sapiens (Human)	192
Q9GZT9	Q9GZT9	EGLN1_HUMAN	reviewed	Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20)	EGLN1 C1orf12 PNAS-118 PNAS-137	Homo sapiens (Human)	426
Q9UNQ2	Q9UNQ2	DIM1_HUMAN	reviewed	Probable dimethyladenosine transferase (EC 2.1.1.183) (DIM1 dimethyladenosine transferase 1 homolog) (DIM1 dimethyladenosine transferase 1-like) (Probable 18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase) (Probable 18S rRNA dimethylase) (Probable S-adenosylmethionine-6-N',N'-adenosyl(rRNA) dimethyltransferase)	DIMT1 DIMT1L HUSSY-05	Homo sapiens (Human)	313
Q9Y239	Q9Y239	NOD1_HUMAN	reviewed	Nucleotide-binding oligomerization domain-containing protein 1 (Caspase recruitment domain-containing protein 4)	NOD1 CARD4	Homo sapiens (Human)	953
P30084	P30084	ECHM_HUMAN	reviewed	Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)	ECHS1	Homo sapiens (Human)	290
D6RC25	D6RC25	D6RC25_HUMAN	unreviewed	Centrosomal protein of 44 kDa (Fragment)	CEP44	Homo sapiens (Human)	139
H0YKE7	H0YKE7	H0YKE7_HUMAN	unreviewed	Calcineurin B homologous protein 1	CHP1	Homo sapiens (Human)	123
P06748-1,P06748,P06748-3	P06748	NPM_HUMAN	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	294
P60763	P60763	RAC3_HUMAN	reviewed	Ras-related C3 botulinum toxin substrate 3 (EC 3.6.5.2) (p21-Rac3)	RAC3	Homo sapiens (Human)	192
P35606	P35606	COPB2_HUMAN	reviewed	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)	COPB2	Homo sapiens (Human)	906
Q05D60	Q05D60	DEUP1_HUMAN	reviewed	Deuterosome assembly protein 1 (Coiled-coil domain-containing protein 67)	DEUP1 CCDC67	Homo sapiens (Human)	604
P30307	P30307	MPIP3_HUMAN	reviewed	M-phase inducer phosphatase 3 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25C)	CDC25C	Homo sapiens (Human)	473
Q9NSI9	Q9NSI9	Q9NSI9_HUMAN	unreviewed	PRED4 protein (Fragment)	PRED4	Homo sapiens (Human)	424
Q6N094	Q6N094	Q6N094_HUMAN	unreviewed	Uncharacterized protein DKFZp686O01196	DKFZp686O01196	Homo sapiens (Human)	480
Q9UBV7	Q9UBV7	B4GT7_HUMAN	reviewed	Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein 4-beta-galactosyltransferase) (EC 2.4.1.133) (Xylosylprotein beta-1,4-galactosyltransferase)	B4GALT7 XGALT1 UNQ748/PRO1478	Homo sapiens (Human)	327
H0YKE4	H0YKE4	H0YKE4_HUMAN	unreviewed	Jun dimerization protein 2 (Fragment)	JDP2	Homo sapiens (Human)	133
O95870	O95870	ABHGA_HUMAN	reviewed	Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5) (hBAT5) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23) (Protein G5)	ABHD16A BAT5 G5 NG26 PP199	Homo sapiens (Human)	558
Q5RI15	Q5RI15	COX20_HUMAN	reviewed	Cytochrome c oxidase assembly protein COX20, mitochondrial	COX20 FAM36A	Homo sapiens (Human)	118
Q15018	Q15018	ABRX2_HUMAN	reviewed	BRISC complex subunit Abraxas 2 (Abraxas brother protein 1) (Protein FAM175B)	ABRAXAS2 ABRO1 FAM175B KIAA0157	Homo sapiens (Human)	415
Q04323	Q04323	UBXN1_HUMAN	reviewed	UBX domain-containing protein 1 (SAPK substrate protein 1) (UBA/UBX 33.3 kDa protein)	UBXN1 SAKS1	Homo sapiens (Human)	297
Q6P5R6	Q6P5R6	RL22L_HUMAN	reviewed	60S ribosomal protein L22-like 1 (Large ribosomal subunit protein eL22-like 1)	RPL22L1	Homo sapiens (Human)	122
Q66K14	Q66K14	TBC9B_HUMAN	reviewed	TBC1 domain family member 9B	TBC1D9B KIAA0676	Homo sapiens (Human)	1250
Q8NEL9	Q8NEL9	DDHD1_HUMAN	reviewed	Phospholipase DDHD1 (EC 3.1.1.-) (DDHD domain-containing protein 1) (Phosphatidic acid-preferring phospholipase A1 homolog) (PA-PLA1)	DDHD1 KIAA1705	Homo sapiens (Human)	900
H7BZ55	H7BZ55	CRCC2_HUMAN	reviewed	Ciliary rootlet coiled-coil protein 2	CROCC2	Homo sapiens (Human)	1653
H0Y5D9	H0Y5D9	H0Y5D9_HUMAN	unreviewed	Roquin-2 (Fragment)	RC3H2	Homo sapiens (Human)	188
Q9BX66	Q9BX66	SRBS1_HUMAN	reviewed	Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP)	SORBS1 KIAA0894 KIAA1296 SH3D5	Homo sapiens (Human)	1292
Q9UNA4	Q9UNA4	POLI_HUMAN	reviewed	DNA polymerase iota (EC 2.7.7.7) (Eta2) (RAD30 homolog B)	POLI RAD30B	Homo sapiens (Human)	740
Q9H6D7	Q9H6D7	HAUS4_HUMAN	reviewed	HAUS augmin-like complex subunit 4	HAUS4 C14orf94	Homo sapiens (Human)	363
Q68CQ7	Q68CQ7	GL8D1_HUMAN	reviewed	Glycosyltransferase 8 domain-containing protein 1 (EC 2.4.1.-)	GLT8D1 GALA4A AD-017 MSTP137 UNQ572/PRO1134	Homo sapiens (Human)	371
O60271	O60271	JIP4_HUMAN	reviewed	C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (Cancer/testis antigen 89) (CT89) (Human lung cancer oncogene 6 protein) (HLC-6) (JNK-associated leucine-zipper protein) (JLP) (Mitogen-activated protein kinase 8-interacting protein 4) (Proliferation-inducing protein 6) (Protein highly expressed in testis) (PHET) (Sperm surface protein) (Sperm-associated antigen 9) (Sperm-specific protein) (Sunday driver 1)	SPAG9 HSS KIAA0516 MAPK8IP4 SYD1 HLC6	Homo sapiens (Human)	1321
Q16706	Q16706	MA2A1_HUMAN	reviewed	Alpha-mannosidase 2 (EC 3.2.1.114) (Golgi alpha-mannosidase II) (AMan II) (Man II) (Mannosidase alpha class 2A member 1) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)	MAN2A1 MANA2	Homo sapiens (Human)	1144
Q9HAU0	Q9HAU0	PKHA5_HUMAN	reviewed	Pleckstrin homology domain-containing family A member 5 (PH domain-containing family A member 5) (Phosphoinositol 3-phosphate-binding protein 2) (PEPP-2)	PLEKHA5 KIAA1686 PEPP2	Homo sapiens (Human)	1116
Q9HAT8	Q9HAT8	PELI2_HUMAN	reviewed	E3 ubiquitin-protein ligase pellino homolog 2 (Pellino-2) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase pellino homolog 2)	PELI2	Homo sapiens (Human)	420
Q9NX74	Q9NX74	DUS2L_HUMAN	reviewed	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like (EC 1.3.1.91) (Dihydrouridine synthase 2) (Up-regulated in lung cancer protein 8) (URLC8) (tRNA-dihydrouridine synthase 2-like) (hDUS2)	DUS2 DUS2L	Homo sapiens (Human)	493
Q8WVV5	Q8WVV5	BT2A2_HUMAN	reviewed	Butyrophilin subfamily 2 member A2	BTN2A2 BT2.2 BTF2	Homo sapiens (Human)	523
Q8IVS2	Q8IVS2	FABD_HUMAN	reviewed	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial (MCT) (EC 2.3.1.39) (Mitochondrial malonyl CoA:ACP acyltransferase) (Mitochondrial malonyltransferase) ([Acyl-carrier-protein] malonyltransferase)	MCAT MT	Homo sapiens (Human)	390
Q9UPX8	Q9UPX8	SHAN2_HUMAN	reviewed	SH3 and multiple ankyrin repeat domains protein 2 (Shank2) (Cortactin-binding protein 1) (CortBP1) (Proline-rich synapse-associated protein 1)	SHANK2 CORTBP1 KIAA1022 PROSAP1	Homo sapiens (Human)	1470
Q12893	Q12893	TM115_HUMAN	reviewed	Transmembrane protein 115 (Placental protein 6) (Protein PL6)	TMEM115 PL6 LUCA11.2	Homo sapiens (Human)	351
P08865	P08865	RSSA_HUMAN	reviewed	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	RPSA LAMBR LAMR1	Homo sapiens (Human)	295
O15354	O15354	GPR37_HUMAN	reviewed	Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	GPR37	Homo sapiens (Human)	613
Q9NZT1	Q9NZT1	CALL5_HUMAN	reviewed	Calmodulin-like protein 5 (Calmodulin-like skin protein)	CALML5 CLSP	Homo sapiens (Human)	146
O75841	O75841	UPK1B_HUMAN	reviewed	Uroplakin-1b (UP1b) (Tetraspanin-20) (Tspan-20) (Uroplakin Ib) (UPIb)	UPK1B TSPAN20	Homo sapiens (Human)	260
P53674	P53674	CRBB1_HUMAN	reviewed	Beta-crystallin B1 (Beta-B1 crystallin)	CRYBB1	Homo sapiens (Human)	252
